learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
0.01,0.04800535792480562,0.046713,0.000454,0.2032,0.5098,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06215775594161528,0.043327,0.000412,0.1850,0.4947,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02299569719150805,0.056584,0.000630,0.2772,0.6135,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01817820128090047,0.060117,0.000697,0.2970,0.6390,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02326784535119006,0.055939,0.000583,0.2690,0.6067,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09220709896618885,0.040839,0.000346,0.1655,0.4220,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09101787660686607,0.040874,0.000304,0.1482,0.3966,0.0000,0.0000,0.0000,0.0000,0
0.01,0.036287614426367965,0.050091,0.000458,0.2250,0.5342,0.0000,0.0000,0.0000,0.0000,0
0.01,0.026989883060047484,0.054461,0.000580,0.2697,0.6021,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04371002087568206,0.046904,0.000406,0.1950,0.5064,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05200376774863925,0.045798,0.000477,0.2137,0.5395,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0003637464153835592,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0732571928574446,0.042014,0.000348,0.1633,0.4161,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01633440653822992,0.061559,0.000770,0.3182,0.6689,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06078119500924292,0.043230,0.000428,0.2015,0.5234,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0048673750492867675,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02234124116363366,0.056920,0.000616,0.2770,0.6163,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09319016630352413,0.041043,0.000373,0.1713,0.4294,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05459278804071878,0.045054,0.000460,0.1973,0.5088,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0520841136143573,0.045627,0.000456,0.2095,0.5288,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06535571390019321,0.044329,0.000448,0.2057,0.4878,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09002434049128274,0.040798,0.000339,0.1515,0.4013,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06109579470017867,0.042825,0.000420,0.1943,0.5148,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09214218982190776,0.040817,0.000346,0.1655,0.4220,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08049975554018303,0.043209,0.000437,0.1963,0.4639,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07799133434764692,0.043319,0.000398,0.1898,0.4714,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09562760634978315,0.041370,0.000374,0.1525,0.4065,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03763973254211952,0.049437,0.000487,0.2258,0.5327,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09243341578580383,0.040608,0.000345,0.1640,0.4208,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0783797520593515,0.043769,0.000450,0.2052,0.4880,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09514398045349692,0.041448,0.000380,0.1547,0.4096,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0863051699791073,0.040415,0.000388,0.1750,0.4306,0.0000,0.0000,0.0000,0.0000,0
0.01,0.026086858130373924,0.054925,0.000583,0.2672,0.5990,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06331258312509169,0.043919,0.000445,0.2040,0.4933,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07299776251261235,0.042043,0.000336,0.1623,0.4158,0.0000,0.0000,0.0000,0.0000,0
0.01,0.003188823516542205,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.031092768187749267,0.051959,0.000502,0.2432,0.5582,0.0000,0.0000,0.0000,0.0000,0
0.01,0.053933083138396246,0.045049,0.000475,0.2045,0.5145,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05309626812798766,0.045049,0.000475,0.2045,0.5265,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08817705161398746,0.040458,0.000331,0.1590,0.4180,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07712967264348217,0.043226,0.000382,0.1913,0.4782,0.0000,0.0000,0.0000,0.0000,0
0.01,0.060834137455148075,0.043135,0.000426,0.2013,0.5232,0.0000,0.0000,0.0000,0.0000,0
0.01,0.026660382677002742,0.054183,0.000591,0.2692,0.6044,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03572421434130693,0.049924,0.000462,0.2160,0.5112,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08144728506278834,0.043104,0.000432,0.1895,0.4484,0.0000,0.0000,0.0000,0.0000,0
0.01,0.021046662633660968,0.057358,0.000612,0.2765,0.6100,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01432004583570175,0.063490,0.000837,0.3305,0.6803,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09778333095159017,0.042485,0.000400,0.1787,0.4629,0.0000,0.0000,0.0000,0.0000,0
0.01,0.058733859497728705,0.043796,0.000448,0.1993,0.5075,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09383981722447844,0.041081,0.000385,0.1585,0.4146,0.0000,0.0000,0.0000,0.0000,0
0.01,0.046092865866239494,0.047392,0.000476,0.2218,0.5269,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04499364560419281,0.048081,0.000471,0.2273,0.5386,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02172393568717279,0.057115,0.000620,0.2785,0.6115,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03123083754261361,0.052217,0.000561,0.2622,0.5924,0.0000,0.0000,0.0000,0.0000,0
0.01,0.010818696205828923,0.067803,0.000957,0.3583,0.7070,0.0000,0.0000,0.0000,0.0000,0
0.01,0.036483513517725295,0.049966,0.000481,0.2240,0.5337,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04970097921180253,0.046108,0.000485,0.2283,0.5442,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05077093393237703,0.045560,0.000512,0.2397,0.5738,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07900166728405432,0.043100,0.000448,0.2008,0.4790,0.0000,0.0000,0.0000,0.0000,0
0.01,0.007936323820372399,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07105483806696443,0.042575,0.000368,0.1780,0.4442,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02466830700465408,0.055051,0.000594,0.2682,0.6019,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01449105728403217,0.063379,0.000836,0.3297,0.6782,0.0000,0.0000,0.0000,0.0000,0
0.01,0.038762445441793726,0.049179,0.000500,0.2285,0.5525,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09328307433942802,0.041133,0.000367,0.1650,0.4216,0.0000,0.0000,0.0000,0.0000,0
0.01,0.005053098001024845,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06343194904339114,0.043831,0.000445,0.2032,0.4924,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01909906370806721,0.059434,0.000698,0.3000,0.6450,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05226639740380556,0.045545,0.000474,0.2085,0.5259,0.0000,0.0000,0.0000,0.0000,0
0.01,0.008911677744712476,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06115374131667768,0.042763,0.000421,0.1943,0.5148,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06160983136349314,0.043156,0.000433,0.1918,0.5089,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02983491770925755,0.052959,0.000544,0.2587,0.5855,0.0000,0.0000,0.0000,0.0000,0
0.01,0.061784156284533036,0.043208,0.000429,0.1875,0.4983,0.0000,0.0000,0.0000,0.0000,0
0.01,0.026465462421714086,0.054258,0.000552,0.2550,0.5861,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03011154715624601,0.052386,0.000547,0.2495,0.5786,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03166898290347871,0.052069,0.000537,0.2467,0.5769,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04627315766853563,0.047189,0.000485,0.2220,0.5270,0.0000,0.0000,0.0000,0.0000,0
0.01,0.006932421873327244,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04415398930168382,0.046792,0.000426,0.2105,0.5465,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07787187682305904,0.043316,0.000393,0.1903,0.4718,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04624527269710977,0.047104,0.000479,0.2215,0.5267,0.0000,0.0000,0.0000,0.0000,0
0.01,0.029917839091347938,0.052754,0.000551,0.2500,0.5784,0.0000,0.0000,0.0000,0.0000,0
0.01,0.011297233630427056,0.067237,0.000940,0.3568,0.7053,0.0000,0.0000,0.0000,0.0000,0
0.01,0.011105981688161985,0.067506,0.000952,0.3605,0.7128,0.0000,0.0000,0.0000,0.0000,0
0.01,0.028312394956945954,0.053733,0.000580,0.2670,0.5956,0.0000,0.0000,0.0000,0.0000,0
0.01,0.016937399536932667,0.061159,0.000739,0.3078,0.6546,0.0000,0.0000,0.0000,0.0000,0
0.01,0.013463524015098984,0.064434,0.000885,0.3448,0.6953,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09907833965034932,0.041527,0.000373,0.1725,0.4541,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06609736998803235,0.043745,0.000409,0.1852,0.4554,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07170464071751748,0.042310,0.000340,0.1668,0.4301,0.0000,0.0000,0.0000,0.0000,0
0.01,0.029323213169186124,0.052849,0.000518,0.2490,0.5809,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04316042963648504,0.047322,0.000466,0.2005,0.4978,0.0000,0.0000,0.0000,0.0000,0
0.01,0.014469937263071284,0.063546,0.000822,0.3275,0.6795,0.0000,0.0000,0.0000,0.0000,0
0.01,0.032058824754490726,0.051802,0.000536,0.2507,0.5834,0.0000,0.0000,0.0000,0.0000,0
