leak_rate,reset_potential,decay_alpha,oja_alpha,threshold,n_avalanches,branching_ratio,power_law_slope,avg_activity,activity_std,final_avg_weight
0.05,0.3,0.0002,0.001,0.35,1,0.6813,0.0000,0.0012,0.0077,0.0400
0.05,0.3,0.0002,0.001,0.4,2,0.6586,0.0000,0.0010,0.0073,0.0401
0.05,0.3,0.0002,0.001,0.45,1,0.7246,0.0000,0.0008,0.0067,0.0401
0.05,0.3,0.0002,0.002,0.35,1,0.6813,0.0000,0.0009,0.0072,0.0400
0.05,0.3,0.0002,0.002,0.4,2,0.6586,0.0000,0.0008,0.0069,0.0400
0.05,0.3,0.0002,0.002,0.45,1,0.7246,0.0000,0.0007,0.0065,0.0400
0.05,0.3,0.0002,0.004,0.35,1,0.6813,0.0000,0.0007,0.0068,0.0398
0.05,0.3,0.0002,0.004,0.4,2,0.8312,0.0000,0.0006,0.0066,0.0399
0.05,0.3,0.0002,0.004,0.45,1,0.7246,0.0000,0.0006,0.0063,0.0399
0.05,0.3,0.0005,0.001,0.35,1,0.6813,0.0000,0.0011,0.0074,0.0220
0.05,0.3,0.0005,0.001,0.4,2,0.6586,0.0000,0.0009,0.0070,0.0220
0.05,0.3,0.0005,0.001,0.45,1,0.7246,0.0000,0.0007,0.0066,0.0220
0.05,0.3,0.0005,0.002,0.35,1,0.6813,0.0000,0.0009,0.0071,0.0219
0.05,0.3,0.0005,0.002,0.4,2,0.8312,0.0000,0.0007,0.0068,0.0220
0.05,0.3,0.0005,0.002,0.45,1,0.7246,0.0000,0.0006,0.0064,0.0220
0.05,0.3,0.0005,0.004,0.35,1,0.7047,0.0000,0.0007,0.0068,0.0219
0.05,0.3,0.0005,0.004,0.4,2,0.8312,0.0000,0.0006,0.0065,0.0219
0.05,0.3,0.0005,0.004,0.45,1,0.7246,0.0000,0.0005,0.0062,0.0219
0.05,0.3,0.001,0.001,0.35,1,0.6813,0.0000,0.0009,0.0071,0.0081
0.05,0.3,0.001,0.001,0.4,2,0.6586,0.0000,0.0008,0.0069,0.0081
0.05,0.3,0.001,0.001,0.45,1,0.7246,0.0000,0.0007,0.0065,0.0081
0.05,0.3,0.001,0.002,0.35,1,0.6813,0.0000,0.0008,0.0069,0.0081
0.05,0.3,0.001,0.002,0.4,2,0.8312,0.0000,0.0007,0.0066,0.0081
0.05,0.3,0.001,0.002,0.45,1,0.7246,0.0000,0.0006,0.0063,0.0081
0.05,0.3,0.001,0.004,0.35,1,0.7047,0.0000,0.0006,0.0066,0.0080
0.05,0.3,0.001,0.004,0.4,2,0.8312,0.0000,0.0006,0.0065,0.0080
0.05,0.3,0.001,0.004,0.45,1,0.7246,0.0000,0.0005,0.0062,0.0081
0.05,0.4,0.0002,0.001,0.35,1,0.3194,0.0000,0.0002,0.0050,0.0402
0.05,0.4,0.0002,0.001,0.4,1,0.3056,0.0000,0.0002,0.0050,0.0402
0.05,0.4,0.0002,0.001,0.45,1,0.3056,0.0000,0.0002,0.0050,0.0402
0.05,0.4,0.0002,0.002,0.35,1,0.3194,0.0000,0.0002,0.0050,0.0402
0.05,0.4,0.0002,0.002,0.4,1,0.3056,0.0000,0.0002,0.0050,0.0402
