n_neurons,firing_count,leak_rate,reset_potential,excitatory_fraction,k_prop,decay_alpha,oja_alpha,learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.035109,0.035109,0.249054,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.088871,0.088871,0.250227,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.073507,0.073507,0.249718,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.088091,0.088091,0.250197,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.010910,0.010910,0.248940,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.063464,0.063464,0.249464,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.084235,0.084235,0.250054,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.051146,0.051146,0.249237,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.090229,0.090229,0.250280,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.036727,0.036727,0.249067,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.022255,0.022255,0.248978,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.013469,0.013469,0.248946,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.099558,0.099558,0.250681,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
